species_code,recording_id,n_notes,n_bouts,mean_bout_dur,median_bout_dur,total_bout_dur,audio_dur
labcro1,xc:824065,96,43,1.509,0.88,64.87,109.69
labcro1,xc:350538,13,5,3.038,3.07,15.19,21.29
labcro1,xc:307471,10,1,5.61,5.61,5.61,6.59
labcro1,xc:811821,166,120,0.415,0.07,49.77,201.91
labcro1,xc:446405,71,16,3.268,3.71,52.29,56.6
labcro1,xc:986610,8,1,5.07,5.07,5.07,6.37
labcro1,xc:811532,10,1,6.26,6.26,6.26,6.7
labcro1,xc:603876,4,2,1.74,1.74,3.48,5.14
labcro1,xc:286155,3,2,4.365,4.365,8.73,9.41
labcro1,xc:623827,7,6,0.365,0.285,2.19,14.79
labcro1,xc:81350,6,1,3.2,3.2,3.2,3.24
